SampleRTTs	ExpAvgs	AriAvgs
27	83.875	27.0
11	74.765625	19.0
15	67.294921875	17.666666666666664
10	60.133056640625	15.749999999999998
21	55.241424560546875	16.8
10	49.586246490478516	15.666666666666668
27	46.7629656791687	17.285714285714285
10	42.16759496927261	16.375
13	38.52164559811354	16.0
13	35.331439898349345	15.700000000000001
11	32.29000991105568	15.272727272727273
11	29.628758672173717	14.916666666666666
11	27.300163838152002	14.615384615384617
38	28.637643358383002	16.28571428571429
38	29.807937938585127	17.733333333333334
37	30.706945696261986	18.9375
45	32.493577484229235	20.47058823529412
24	31.43188029870058	20.666666666666668
29	31.127895261363008	21.105263157894736
20	29.736908353692634	21.049999999999997
37	30.644794809481056	21.809523809523807
22	29.564195458295924	21.818181818181817
23	28.743671026008933	21.869565217391305
10	26.400712147757815	21.375000000000004
49	29.22562312928809	22.480000000000004
15	27.447420238127076	22.192307692307697
31	27.89149270836119	22.518518518518523
56	31.40505611981604	23.71428571428572
43	32.85442410483904	24.37931034482759
44	34.24762109173416	25.033333333333335
21	32.59166845526739	24.903225806451612
33	32.642709898358966	25.15625
38	33.31237116106409	25.545454545454547
32	33.14832476593108	25.73529411764706
46	34.754784170189694	26.314285714285717
38	35.160436148915984	26.638888888888893
46	36.51538163030149	27.162162162162165
26	35.200958926513806	27.131578947368425
10	32.05083906069958	26.692307692307693
54	34.79448417811213	27.375000000000004
67	38.82017365584811	28.34146341463415
18	36.21765194886709	28.095238095238095
63	39.56544545525871	28.906976744186046
30	38.36976477335137	28.931818181818183
45	39.19854417668245	29.288888888888888
41	39.42372615459714	29.543478260869563
32	38.4957603852725	29.595744680851062
10	34.933790337113436	29.187499999999996
30	34.31706654497425	29.204081632653057
12	31.527433226852473	28.859999999999996
12	29.086504073495913	28.529411764705877
17	27.575691064308923	28.3076923076923
61	31.753729681270308	28.924528301886788
14	29.53451347111152	28.648148148148145
29	29.46769928722258	28.654545454545453
36	30.284236876319756	28.78571428571428
49	32.62370726677979	29.140350877192976
33	32.67074385843232	29.20689655172413
25	31.711900876128276	29.13559322033898
21	30.37291326661224	28.999999999999996
54	33.32629910828571	29.409836065573767
45	34.78551171975	29.661290322580644
43	35.81232275478125	29.87301587301587
23	34.210782410433595	29.765624999999996
63	37.8094346091294	30.276923076923076
28	36.58325528298822	30.242424242424242
44	37.51034837261469	30.44776119402985
45	38.446554826037854	30.661764705882355
57	40.76573547278312	31.043478260869566
21	38.29501853868523	30.900000000000002
31	37.383141221349575	30.901408450704228
37	37.33524856868088	30.986111111111114
68	41.16834249759577	31.493150684931507
29	39.647299685396305	31.45945945945946
40	39.691387224721765	31.573333333333338
56	41.72996382163154	31.894736842105267
64	44.5137183439276	32.311688311688314
93	50.57450355093665	33.08974358974359
48	50.25269060706957	33.27848101265823
44	49.47110428118587	33.4125
45	48.91221624603764	33.55555555555556
42	48.04818921528293	33.65853658536586
69	50.66716556337256	34.08433734939759
75	53.70876986795099	34.57142857142858
50	53.24517363445712	34.75294117647059
92	58.08952693014998	35.418604651162795
63	58.70333606388123	35.73563218390805
59	58.740419055896076	36.00000000000001
55	58.272866673909064	36.213483146067425
67	59.36375833967043	36.55555555555557
10	53.19328854721163	36.26373626373628
16	48.544127478810175	36.04347826086958
34	46.7261115439589	36.0215053763441
10	42.13534760096404	35.74468085106385
11	38.24342915084353	35.484210526315806
10	34.71300050698809	35.218750000000014
10	31.623875443614576	34.95876288659795
10	28.920891013162755	34.70408163265307
10	26.55577963651741	34.45454545454547
